,Breed,Description,Group,Origin,Life Expectancy,Related Breeds,Temperament,Adaptability Level,Affectionate With Family,Barking Level,Coat Grooming Frequency,Good with Young Children,Coat Length,Coat Type,Drooling Level,Energy Level,Good With Other Dogs,Mental Stimulation Needs,Openness to Strangers,Playfulness Level,Shedding Level,Trainability Level,Min Height,Max Height,Min Weight,Max Weight
0,Affenpinscher,"<p>Loyal, curious, and famously amusing, this almost-human toy dog is fearless out of all proportion to his size. As with all great comedians, it's the Affenpinscher's apparent seriousness of purpose that makes his antics all the more amusing.</p>",Toy Group,Germany,12-15 years,"Brussels Griffon, West Highland White Terrier, Norwich Terrier, Miniature Schnauzer, Cairn Terrier",confident / famously funny / fearless,4,3,3,3,3,0,['Wiry'],1,3,3,3,5,3,3,3,9,11.5,7,10
1,Afghan Hound,"<p>Among the most eye-catching of all dog breeds, the Afghan Hound is an aloof and dignified aristocrat of sublime beauty. Despite his regal appearance, the Afghan can exhibit an endearing streak of silliness and a profound loyalty.</p>",Hound Group,Afghanistan,12-18 years,"Borzoi, Saluki, Scottish Deerhound, Greyhound, Azawakh",independent / sweet,3,3,3,4,3,0,['Silky'],1,4,3,3,3,3,1,1,25,27,50,60
2,Airedale Terrier,"<p>His size, strength, and unflagging spirit have earned the Airedale Terrier the nickname 'The King of Terriers.' The Airedale stands among the world's most versatile dog breeds and has distinguished himself as hunter, athlete, and companion.</p>",Terrier Group,England,11-14 years,"Welsh Terrier, Irish Terrier, Kerry Blue Terrier, Wire Fox Terrier, Lakeland Terrier",friendly / courageous / clever,3,3,3,3,3,0,['Wiry'],1,3,3,3,3,3,1,3,23,23,50,70
3,Akita,"<p>The Akita is a muscular, double-coated dog of ancient Japanese lineage famous for their dignity, courage, and loyalty. In their native land, they're venerated as family protectors and symbols of good health, happiness, and long life.</p>",Working Group,Japan,10-14 years,"Kai Ken, Kishu Ken, Hokkaido, Shiba Inu, Shikoku",dignified / courageous / profoundly loyal,3,3,2,3,3,0,['Double'],1,4,1,3,2,3,3,3,24,28,70,130
4,Alaskan Klee Kai,"<p>The Alaskan Klee Kai is a small-sized companion dog that is alert, energetic, and curious, yet reserved with unfamiliar people and situations.&nbsp;</p>",Foundation Stock Service,United States,13-16 years,"American Eskimo Dog, Keeshond, Finnish Lapphund, Japanese Spitz, Siberian Husky",loyal / intelligent / vigilant,3,3,3,3,3,0,"['Double', '0']",1,3,5,3,1,3,3,3,12,17,6,25
5,Alaskan Malamute,"An immensely strong, heavy-duty worker of spitz type, the Alaskan Malamute is an affectionate, loyal, and playful but dignified dog recognizable by his well-furred plumed tail carried over the back, erect ears, and substantial bone.",Working Group,Alaska,10-14 years,"Yakutian Laika, Siberian Husky, Samoyed, Chinook, Lapponian Herder",loyal / playful / affectionate,3,3,3,3,3,0,['Double'],1,4,3,3,3,3,3,5,23,25,75,85
6,American Bulldog,"<p>American Bulldogs are a well-balanced athletic dog that demonstrate great strength, endurance, agility, and a friendly attitude. Historically, they were bred to be a utility dog used for working the farm.</p>",Foundation Stock Service,United States,10-12 years,"Bulldog, Bull Terrier, American Staffordshire Terrier",loyal / self-confident,0,0,1,0,3,0,['Smooth'],0,0,3,0,0,0,2,4,22,22,75,75
7,American English Coonhound,"These sleek and racy, lean but muscular hounds work dusk to dawn in pursuit of the wily raccoon. The sight of the American English Coonhound tearing through the moonlit woods, all sinew and determination, bawling their lusty night music, is coon-hunter heaven.",Hound Group,United States,11-12 years,"American Foxhound, Redbone Coonhound, Black and Tan Coonhound, Bluetick Coonhound, Treeing Walker Coonhound",sociable / sweet / mellow,3,3,4,1,3,0,['Smooth'],1,4,5,3,3,3,2,3,23,26,45,65
8,American Eskimo Dog,"The American Eskimo Dog combines striking good looks with a quick and clever mind in a total brains-and-beauty package. Neither shy nor aggressive, Eskies are always alert and friendly, though a bit conservative when making new friends.",Non-Sporting Group,United States,13-15 years,"Samoyed, Icelandic Sheepdog, Keeshond, Yakutian Laika, German Spitz",Loyal / Smart / Versatile,4,5,3,3,5,0,['Double'],1,4,3,3,5,3,3,4,9,19,6,35
9,American Foxhound,"American Foxhounds are good-natured, low-maintenance hounds who get on well with kids, dogs, even cats, but come with special considerations for prospective owners. They are closely associated with Revolutionary heroes and the rolling estates of old Virginia.",Hound Group,United States,11-13 years,"American English Coonhound, English Foxhound, Beagle, Treeing Walker Coonhound, Harrier",independent / easy-going / sweet-tempered,3,3,5,1,5,0,['Smooth'],1,4,5,3,3,3,3,3,21,25,60,70
10,American Hairless Terrier,"<p>The American Hairless Terrier, a Louisiana native, is a smart, inquisitive, and playful dog that comes in hairless and coated varieties. He is a fine choice for allergy sufferers who want a dog with true terrier grit and courage.</p>",Terrier Group,United States,14-16 years,"Peruvian Inca Orchid, Rat Terrier, Smooth Fox Terrier, Chinese Crested, Xoloitzcuintli",alert / curious / energetic,5,5,3,1,5,0,['Hairless'],1,3,3,3,3,3,1,5,12,16,12,28
