,Breed,Description,Group,Origin,Life Expectancy,Related Breeds,Temperament,Adaptability Level,Affectionate With Family,Barking Level,Coat Grooming Frequency,Good with Young Children,Coat Length,Coat Type,Drooling Level,Energy Level,Good With Other Dogs,Mental Stimulation Needs,Openness to Strangers,Playfulness Level,Shedding Level,Trainability Level,Min Height,Max Height,Min Weight,Max Weight,Min Life Expectancy,Max Life Expectancy
0,Affenpinscher,"Loyal, curious, and famously amusing, this almost-human toy dog is fearless out of all proportion to his size. As with all great comedians, it's the Affenpinscher's apparent seriousness of purpose that makes his antics all the more amusing.",Toy Group,Germany,12-15 years,,confident / famously funny / fearless,4,3,3,3,3,0,['Wiry'],1,3,3,3,5,3,3,3,9.0,11.5,7.0,10.0,12,15
1,Afghan Hound,"Among the most eye-catching of all dog breeds, the Afghan Hound is an aloof and dignified aristocrat of sublime beauty. Despite his regal appearance, the Afghan can exhibit an endearing streak of silliness and a profound loyalty.",Hound Group,Afghanistan,12-18 years,,independent / sweet,3,3,3,4,3,0,['Silky'],1,4,3,3,3,3,1,1,25.0,27.0,50.0,60.0,12,18
2,Airedale Terrier,"His size, strength, and unflagging spirit have earned the Airedale Terrier the nickname 'The King of Terriers.' The Airedale stands among the world's most versatile dog breeds and has distinguished himself as hunter, athlete, and companion.",Terrier Group,United Kingdom,11-14 years,,friendly / courageous / clever,3,3,3,3,3,0,['Wiry'],1,3,3,3,3,3,1,3,23.0,23.0,50.0,70.0,11,14
3,Akita,"The Akita is a muscular, double-coated dog of ancient Japanese lineage famous for their dignity, courage, and loyalty. In their native land, they're venerated as family protectors and symbols of good health, happiness, and long life.",Working Group,Japan,10-14 years,,dignified / courageous / profoundly loyal,3,3,2,3,3,0,['Double'],1,4,1,3,2,3,3,3,24.0,28.0,70.0,130.0,10,14
4,Alaskan Klee Kai,"The Alaskan Klee Kai is a small-sized companion dog that is alert, energetic, and curious, yet reserved with unfamiliar people and situations.&nbsp;",Foundation Stock Service,United States,13-16 years,,loyal / intelligent / vigilant,3,3,3,3,3,0,['Double'],1,3,5,3,1,3,3,3,12.0,17.0,6.0,25.0,13,16
5,Alaskan Malamute,"An immensely strong, heavy-duty worker of spitz type, the Alaskan Malamute is an affectionate, loyal, and playful but dignified dog recognizable by his well-furred plumed tail carried over the back, erect ears, and substantial bone.",Working Group,United States,10-14 years,,loyal / playful / affectionate,3,3,3,3,3,0,['Double'],1,4,3,3,3,3,3,5,23.0,25.0,75.0,85.0,10,14
6,American Bulldog,"American Bulldogs are a well-balanced athletic dog that demonstrate great strength, endurance, agility, and a friendly attitude. Historically, they were bred to be a utility dog used for working the farm.",Foundation Stock Service,United States,10-12 years,,loyal / self-confident,0,0,1,0,3,0,['Smooth'],0,0,3,0,0,0,2,4,22.0,22.0,75.0,75.0,10,12
7,American English Coonhound,"These sleek and racy, lean but muscular hounds work dusk to dawn in pursuit of the wily raccoon. The sight of the American English Coonhound tearing through the moonlit woods, all sinew and determination, bawling their lusty night music, is coon-hunter heaven.",Hound Group,United States,11-12 years,,sociable / sweet / mellow,3,3,4,1,3,0,['Smooth'],1,4,5,3,3,3,2,3,23.0,26.0,45.0,65.0,11,12
8,American Eskimo Dog,"The American Eskimo Dog combines striking good looks with a quick and clever mind in a total brains-and-beauty package. Neither shy nor aggressive, Eskies are always alert and friendly, though a bit conservative when making new friends.",Non-Sporting Group,United States,13-15 years,,Loyal / Smart / Versatile,4,5,3,3,5,0,['Double'],1,4,3,3,5,3,3,4,9.0,19.0,6.0,35.0,13,15
9,American Foxhound,"American Foxhounds are good-natured, low-maintenance hounds who get on well with kids, dogs, even cats, but come with special considerations for prospective owners. They are closely associated with Revolutionary heroes and the rolling estates of old Virginia.",Hound Group,United States,11-13 years,,independent / easy-going / sweet-tempered,3,3,5,1,5,0,['Smooth'],1,4,5,3,3,3,3,3,21.0,25.0,60.0,70.0,11,13
