Rank,Breed
1,French Bulldog
2,Labrador Retriever
3,Golden Retriever
4,German Shepherd Dog
5,Poodle
6,Dachshund
7,Bulldog
8,Beagle
9,Rottweiler
10,German Shorthaired Pointer
11,Pembroke Welsh Corgi
12,Australian Shepherd
13,Yorkshire Terrier
14,Cavalier King Charles Spaniel
15,Doberman Pinscher
16,Cane Corso
17,Miniature Schnauzer
18,Boxer
19,Great Dane
20,Shih Tzu
21,Bernese Mountain Dog
22,Pomeranian
23,Boston Terrier
24,Siberian Husky
25,Havanese
26,Shetland Sheepdog
27,English Springer Spaniel
28,Brittany
29,Miniature American Shepherd
30,Cocker Spaniel
31,Border Collie
32,Chihuahua
33,Belgian Malinois
34,Basset Hound
35,Vizsla
36,Pug
37,Maltese
38,Mastiff
39,English Cocker Spaniel
40,Collie
41,Rhodesian Ridgeback
42,Newfoundland
43,West Highland White Terrier
44,Bichon Frise
45,Papillion
46,Shiba Inu
47,Dalmatian
48,Weimaraner
49,Portuguese Water Dog
50,Samoyed
51,Whippet
52,Australian Cattle Dog
53,Bloodhound
54,Chesapeake Bay Retriever
55,Saint Bernard
56,Giant Schnauzer
57,Wirehaired Pointing Griffon
58,Akita
59,Scottish Terrier
60,Bullmastiff
61,German Wirehaired Pointer
62,Italian Greyhound
63,Cardigan Welsh Corgi
64,Great Pyrenees
65,Bull Terrier
66,Russell Terrier
67,Airedale Terrier
68,Cairn Terrier
69,Soft Coated Wheaten Terrier
70,Chinese Shar-Pei
71,Alaskan Malamute
72,Staffordshire Bull Terrier
73,Irish Wolfhound
74,Miniature Pinscher
75,Boykin Spaniel
76,Irish Setter
77,Old English Sheepdog
78,Biewer Terrier
79,Chinese Crested
80,Lagotto Romagnolo
81,Basenji
82,Anatolian Shepherd Dog
83,Nova Scotia Duck Tolling Retriever
84,Dogues de Bordeaux
85,Lhasa Apso
86,Rat Terrier
87,Greater Swiss Mountain Dog
88,Chow Chow
89,Keeshond
90,Coton de Tulear
91,Pekingese
92,Brussels Griffon
93,Dogo Argentino
94,Border Terrier
95,American Staffordshire Terrier
96,Standard Schnauzer
97,English Setter
98,Leonberger
99,Bouviers des Flandres
100,Flat-Coated Retriever
101,Borzoi
102,Belgian Tervuren
103,Japanese Chin
104,Wire Fox Terrier
105,Norwich Terrier
106,Gordon Setter
107,Miniature Bull Terrier
108,Tibetan Terrier
109,Beauceron
110,Toy Fox Terrier
111,Afghan Hound
112,American Hairless Terrier
113,Schipperke
114,Silky Terrier
115,Norwegian Elkhound
116,Welsh Terrier
117,Parson Russell Terrier
118,Neapolitan Mastiff
119,Spinone Italiano
120,Saluki
121,Tibetan Spaniel
122,Xoloitzcuintli
123,Boerboel
124,Belgian Sheepdog
125,Pointer
126,Manchester Terrier
127,Greyhound
128,Black Russian Terriers
129,American Eskimo Dog
130,Mudi
131,Black and Tan Coonhound
132,Welsh Springer Spaniel
133,Smooth Fox Terrier
134,Norfolk Terrier
135,Finnish Lapphund
136,Barbet
137,Irish Terrier
138,Swedish Vallhund
139,Bluetick Coonhound
140,Redbone Coonhound
141,Russian Toy
142,Wirehaired Vizsla
143,Tibetan Mastiff
144,Spanish Water Dog
145,English Toy Spaniel
146,Icelandic Sheepdog
147,Field Spaniel
148,Clumber Spaniel
149,Bedlington Terrier
150,Briard
151,German Pinscher
152,Bracco Italiano
153,Lakeland Terrier
154,Bearded Collie
155,Treeing Walker Coonhound
156,Australian Terrier
157,Berger Picard
158,Petit Basset Griffon Vendéen
159,Löwchen
160,Kerry Blue Terrier
161,Nederlandse Kooikerhondje
162,Affenpinscher
163,Portuguese Podengo Pequeno
164,Puli
165,Irish Red and White Setter
166,Ibizan Hound
167,Curly-Coated Retriever
168,American Water Spaniel
169,Sealyham Terrier
170,Glen of Imaal Terrier
171,Scottish Deerhound
172,Pumi
173,Kuvasz
174,Sussex Spaniel
175,Norwegian Buhund
176,Pharaoh Hound
177,Irish Water Spaniel
178,American English Coonhound
179,Chinook
180,Komondor
181,Plott Hound
182,American Foxhound
183,Entlebucher Mountain Dog
184,Cirnechi dell’Etna
185,Skye Terrier
186,Dandie Dinmont Terrier
187,Pyrenean Shepherd
188,Bergamasco Sheepdog
189,Otterhound
190,Harrier
191,Canaan Dog
192,Cesky Terrier
193,Polish Lowland Sheepdog
194,Finnish Spitz
195,Belgian Laekenois
196,Azawakh
197,Grand Basset Griffon Vendéen
198,Norwegian Lundehund
199,English Foxhound
200,Sloughi
