,Breed,Outer Rank
0,Australian Stumpy Tail Cattle Dog,0
1,Working Kelpie,1
2,Bouvier des Ardennes,2
3,Brazilian Terrier,3
4,Croatian Sheepdog,4
5,Tornjak,5
6,Bohemian Shepherd,6
7,Slovakian Wirehaired Pointer,7
8,Broholmer,8
9,Estrela Mountain Dog,9
10,Karelian Bear Dog,10
11,Lapponian Herder,11
12,Blue Picardy Spaniel,12
13,Braque du Bourbonnais,13
14,Braque Francais Pyrenean,14
15,Braque Saint-Germain,15
16,French Spaniel,16
17,Pont-Audemer Spaniel,17
18,Porcelaine,18
19,Caucasian Shepherd Dog,19
20,Bavarian Mountain Scent Hound,20
21,Deutscher Wachtelhund,21
22,Eurasier,22
23,German Longhaired Pointer,23
24,Hanoverian Scenthound,24
25,Hovawart,25
26,Jagdterrier,26
27,Kromfohrlander,27
28,Large Munsterlander,28
29,Pudelpointer,29
30,Transylvanian Hound,30
31,Segugio Italiano,31
32,Volpino Italiano,32
33,Hokkaido,33
34,Japanese Spitz,34
35,Japanese Terrier,35
36,Kishu Ken,36
37,Shikoku,37
38,Tosa,38
39,American Leopard Hound,39
40,Wetterhoun,40
41,Barbado da Terceira,41
42,Portuguese Pointer,42
43,Portuguese Sheepdog,43
44,Rafeiro do Alentejo,44
45,Romanian Carpathian Shepherd,45
46,Romanian Mioritic Shepherd Dog,46
47,Central Asian Shepherd Dog,47
48,Slovensky Cuvac,48
49,Slovensky Kopov,49
50,Korean Jindo Dog,50
51,Presa Canario,51
52,Spanish Mastiff,52
53,Drever,53
54,Hamiltonstovare,54
55,Swedish Lapphund,55
56,Appenzeller Sennenhund,56
57,Taiwan Dog,57
58,Thai Bangkaew,58
59,Thai Ridgeback,59
60,Drentsche Patrijshond,60
61,Schapendoes,61
62,Stabyhoun,62
63,Alaskan Klee Kai,63
64,American Bulldog,64
65,Australian Kelpie,65
66,Carolina Dog,66
67,Catahoula Leopard Dog,67
68,Mountain Cur,68
69,Treeing Tennessee Brindle,69
70,Australian Cattle Dog,70
71,Australian Shepherd,71
72,Belgian Laekenois,72
73,Belgian Malinois,73
74,Belgian Sheepdog,74
75,Belgian Tervuren,75
76,Old English Sheepdog,76
77,Border Collie,77
78,Finnish Lapphund,78
79,Bouvier des Flandres,79
80,Beauceron,80
81,Berger Picard,81
82,Briard,82
83,Pyrenean Shepherd,83
84,German Shepherd Dog,84
85,Mudi,85
86,Puli,86
87,Pumi,87
88,Icelandic Sheepdog,88
89,Canaan Dog,89
90,Bergamasco Sheepdog,90
91,Norwegian Buhund,91
92,Polish Lowland Sheepdog,92
93,Bearded Collie,93
94,Shetland Sheepdog,94
95,Collie,95
96,Spanish Water Dog,96
97,Swedish Vallhund,97
98,Entlebucher Mountain Dog,98
99,Miniature American Shepherd,99
100,Lancashire Heeler,100
101,Cardigan Welsh Corgi,101
102,Pembroke Welsh Corgi,102
103,Afghan Hound,103
104,Sloughi,104
105,Basenji,105
106,Greyhound,106
107,Beagle,107
108,English Foxhound,108
109,Harrier,109
110,Otterhound,110
111,Whippet,111
112,Basset Hound,112
113,Grand Basset Griffon Vendéen,113
114,Petit Basset Griffon Vendéen,114
115,Dachshund,115
116,Irish Wolfhound,116
117,Pharaoh Hound,117
118,Saluki,118
119,Norwegian Elkhound,119
120,Portuguese Podengo Pequeno,120
121,Borzoi,121
122,Azawakh,122
123,Scottish Deerhound,123
124,Cirneco dell'Etna,124
125,Ibizan Hound,125
126,American English Coonhound,126
127,American Foxhound,127
128,Black and Tan Coonhound,128
129,Bluetick Coonhound,129
130,Plott Hound,130
131,Redbone Coonhound,131
132,Treeing Walker Coonhound,132
133,Bloodhound,133
134,Rhodesian Ridgeback,134
135,Czechoslovakian Vlciak,135
