,Breed,Outer Rank
0,Australian Stumpy Tail Cattle Dog,0
1,Working Kelpie,1
2,Bouvier des Ardennes,2
3,Brazilian Terrier,3
4,Bohemian Shepherd,4
5,Slovakian Wirehaired Pointer,5
6,Blue Picardy Spaniel,6
7,Braque du Bourbonnais,7
8,Braque Francais Pyrenean,8
9,Braque Saint-Germain,9
10,French Spaniel,10
11,Pont-Audemer Spaniel,11
12,Porcelaine,12
13,Caucasian Shepherd Dog,13
14,Bavarian Mountain Scent Hound,14
15,Deutscher Wachtelhund,15
16,Eurasier,16
17,German Longhaired Pointer,17
18,Hanoverian Scenthound,18
19,Hovawart,19
20,Jagdterrier,20
21,Kromfohrlander,21
22,Large Munsterlander,22
23,Pudelpointer,23
24,Transylvanian Hound,24
25,Segugio Italiano,25
26,Volpino Italiano,26
27,Hokkaido,27
28,Japanese Spitz,28
29,Japanese Terrier,29
30,Kishu Ken,30
31,Shikoku,31
32,Tosa,32
33,American Leopard Hound,33
34,Barbado da Terceira,34
35,Portuguese Pointer,35
36,Portuguese Sheepdog,36
37,Rafeiro do Alentejo,37
38,Romanian Carpathian Shepherd,38
39,Romanian Mioritic Shepherd Dog,39
40,Central Asian Shepherd Dog,40
41,Broholmer,41
42,Drever,42
43,Hamiltonstovare,43
44,Karelian Bear Dog,44
45,Lapponian Herder,45
46,Swedish Lapphund,46
47,Slovensky Cuvac,47
48,Slovensky Kopov,48
49,Korean Jindo Dog,49
50,Presa Canario,50
51,Spanish Mastiff,51
52,Appenzeller Sennenhund,52
53,Taiwan Dog,53
54,Thai Bangkaew,54
55,Thai Ridgeback,55
56,Croatian Sheepdog,56
57,Tornjak,57
58,Drentsche Patrijshond,58
59,Schapendoes,59
60,Stabyhoun,60
61,Wetterhoun,61
62,Estrela Mountain Dog,62
63,Alaskan Klee Kai,63
64,American Bulldog,64
65,Australian Kelpie,65
66,Carolina Dog,66
67,Catahoula Leopard Dog,67
68,Mountain Cur,68
69,Treeing Tennessee Brindle,69
70,Australian Cattle Dog,70
71,Australian Shepherd,71
72,Belgian Laekenois,72
73,Belgian Malinois,73
74,Belgian Sheepdog,74
75,Belgian Tervuren,75
76,Beauceron,76
77,Berger Picard,77
78,Briard,78
79,Pyrenean Shepherd,79
80,German Shepherd Dog,80
81,Mudi,81
82,Puli,82
83,Pumi,83
84,Icelandic Sheepdog,84
85,Canaan Dog,85
86,Bergamasco Sheepdog,86
87,Norwegian Buhund,87
88,Polish Lowland Sheepdog,88
89,Finnish Lapphund,89
90,Swedish Vallhund,90
91,Spanish Water Dog,91
92,Entlebucher Mountain Dog,92
93,Bouvier des Flandres,93
94,Bearded Collie,94
95,Border Collie,95
96,Cardigan Welsh Corgi,96
97,Collie,97
98,Old English Sheepdog,98
99,Pembroke Welsh Corgi,99
100,Shetland Sheepdog,100
101,Miniature American Shepherd,101
102,Lancashire Heeler,102
103,Afghan Hound,103
104,Azawakh,104
105,Basenji,105
106,Greyhound,106
107,Rhodesian Ridgeback,107
108,Bloodhound,108
109,Basset Hound,109
110,Grand Basset Griffon Vendéen,110
111,Petit Basset Griffon Vendéen,111
112,Dachshund,112
113,Irish Wolfhound,113
114,Saluki,114
115,Sloughi,115
116,Norwegian Elkhound,116
117,Portuguese Podengo Pequeno,117
118,Borzoi,118
119,Ibizan Hound,119
120,Cirneco dell'Etna,120
121,Pharaoh Hound,121
122,Beagle,122
123,English Foxhound,123
124,Harrier,124
125,Otterhound,125
126,Scottish Deerhound,126
127,Whippet,127
128,American English Coonhound,128
129,American Foxhound,129
130,Black and Tan Coonhound,130
131,Bluetick Coonhound,131
132,Plott Hound,132
133,Redbone Coonhound,133
134,Treeing Walker Coonhound,134
135,Czechoslovakian Vlciak,135
